Obj	Volume Fraction	Max Stress	C1	C2	StressIntegral
1.202e+05	3.029e-01	9.706333e-02	0.000e+00	1.000e+00	1.212e+01
5.684e+04	3.251e-01	7.490679e-02	0.000e+00	1.000e+00	5.256e+00
2.829e+04	4.015e-01	-1.534672e-03	0.000e+00	1.000e+00	5.115e+00
2.651e+04	3.996e-01	4.494959e-04	0.000e+00	1.000e+00	5.275e+00
2.613e+04	3.995e-01	5.177133e-04	0.000e+00	1.000e+00	5.101e+00
1.914e+04	3.982e-01	1.804932e-03	0.000e+00	1.000e+00	5.251e+00
1.552e+04	4.037e-01	-3.659049e-03	0.000e+00	1.000e+00	5.661e+00
1.381e+04	4.044e-01	-4.394244e-03	0.000e+00	1.000e+00	5.432e+00
1.236e+04	4.050e-01	-4.981651e-03	0.000e+00	1.000e+00	5.789e+00
1.168e+04	4.047e-01	-4.683163e-03	0.000e+00	1.000e+00	5.752e+00
1.086e+04	4.043e-01	-4.310888e-03	0.000e+00	1.000e+00	5.749e+00
1.036e+04	4.040e-01	-3.993403e-03	0.000e+00	1.000e+00	5.876e+00
9.934e+03	4.039e-01	-3.867191e-03	0.000e+00	1.000e+00	5.849e+00
9.347e+03	4.040e-01	-4.045326e-03	0.000e+00	1.000e+00	5.722e+00
9.129e+03	4.037e-01	-3.730271e-03	0.000e+00	1.000e+00	5.775e+00
8.911e+03	4.033e-01	-3.347066e-03	0.000e+00	1.000e+00	5.663e+00
8.761e+03	4.031e-01	-3.133868e-03	0.000e+00	1.000e+00	5.918e+00
8.565e+03	4.028e-01	-2.820593e-03	0.000e+00	1.000e+00	5.819e+00
8.477e+03	4.027e-01	-2.683715e-03	0.000e+00	1.000e+00	5.669e+00
