Obj	Volume Fraction	Max Stress	C1	C2	StressIntegral
1.199e+05	3.029e-01	9.706333e-02	0.000e+00	7.823e-02	8.330e+01
6.048e+04	3.216e-01	7.838421e-02	0.000e+00	1.291e-01	6.849e+01
2.901e+04	4.022e-01	-2.169777e-03	0.000e+00	1.283e-01	6.774e+01
2.708e+04	3.996e-01	3.997595e-04	0.000e+00	1.347e-01	6.781e+01
2.680e+04	3.996e-01	4.397185e-04	0.000e+00	1.355e-01	6.819e+01
1.983e+04	3.965e-01	3.470463e-03	0.000e+00	1.505e-01	6.813e+01
1.632e+04	4.025e-01	-2.514489e-03	0.000e+00	1.465e-01	6.810e+01
1.398e+04	4.043e-01	-4.282983e-03	0.000e+00	1.427e-01	6.774e+01
1.280e+04	4.043e-01	-4.348522e-03	0.000e+00	1.425e-01	6.759e+01
1.213e+04	4.041e-01	-4.055371e-03	0.000e+00	1.427e-01	6.767e+01
1.102e+04	4.038e-01	-3.838086e-03	0.000e+00	1.428e-01	6.850e+01
1.041e+04	4.035e-01	-3.531742e-03	0.000e+00	1.432e-01	6.760e+01
9.966e+03	4.034e-01	-3.423083e-03	0.000e+00	1.436e-01	6.753e+01
9.324e+03	4.034e-01	-3.374550e-03	0.000e+00	1.447e-01	6.805e+01
